Betreiber,Anleger,Strasse,PLZ,Ort,Gewässer
Andreas Diebel GbR,,Katzengraben 19/Spindlergasse,12555,Berlin,Müggelspree;Altstadtinsel Köpenick
Berliner Wassersport und Service GmbH & Co. Betriebs KG,Marina Wendenschloß,Wendenschloßstr. 350-354,12557,Berlin,Spree-Oder-WS Dahme
Berliner Yacht-Club e.V.,,Wannseebadweg 55,14129,Berlin,"UHW, Wannsee"
Best Western Michels Hotel am Schloss Köpenick,,Grünauer Str. 17-21,12557,Berlin,"Spree-Oder-Wasserstr. -Dahme, Frauentog"
Bootshaus Eiswerder Michael & Eike Röhlicke GbR,,Eiswerder Str. 10-12,13585,Berlin,Havel-Oder-Wasserstr.:Insel Eiswerder
Bootshaus Hempler,,Am Pichelsee 22,13595,Berlin,Scharfe Lanke WS:UHW
Bootsstände Blumeshof,Andreas Zacholowsky,Im Saatwinkel 55,13599,Berlin,Ober-Havel-WS
Bootsstände Angermann,,Am Pichelsee 50,13595,Berlin,UHW
Bootsstände Lahe,,Im Saatwinkel 15,13599,Berlin,
Bootssteg/FeWo Hollenbach,,Imkerweg 36,12527,Berlin,Spree-Oder-Wasserstraße
Cafe Bistro Evelin,Sportboote sowie Kanus,Salvador-Allende-Str. 80,12559,Berlin,Müggelspree
Cafe Liebig,,Regattastr. 1,12527,Berlin,"SOW, Langer See"
Cafe Restaurant Kietz,,Müggelheimer Str. 1,12555,Berlin,"Spree-Oder-WS Dahme, Frauentog"
Campingplatz Krossinsee 1930 GmbH,Pier 38,Wernsdorfer Str. 38,12527,Berlin,Krossinsee
Cöpenicker Segler-Verein,,Friedrichshagener Str. 8,12555,Berlin,Müggelspree
Frauentog Tourismusverein Berlin Treptow-Köpenick,,Alt Köpenick 31-33,12555,Berlin,"Spree-Oder-Wasserstr.-Dahme, Frauentog"
freiheit fünfzehn,,Freiheit 15,12555,Berlin,Müggelspree; Altstadtinsel Köpenick
Hafen und Hof e.K.,Marina Rummelsburg,Zur Alten Flusslandschaft 5,10317,Berlin,Spree
Hotel Dannenberg,,Alt Heiligensee 52,13503,Berlin,OHW
Hotel Müggelsee Berlin,Müggelseeperle,Müggelheimer Damm 145,12559,Berlin,Müggelspree Großer Müggelsee
Hotel Müggelsee Berlin,Rübezahl,Müggelheimer Damm 143,12559,Berlin,Müggelspree Großer Müggelsee
Ideeninsel Lindwerder,,Havelchaussee,14193,Berlin,Havel (Untere-Havel-Wasserstrasse)
Im Speicher,,Mühlenstr. 78-80,10243,Berlin,Spree-Oder-Wasserstraße
Klipper Restaurantschiff,,Bulgarische Straße,12435,Berlin,Spree-Oder-Wasserstraße
Köpenick am Generalshof Tourismusverein Berlin Treptow-Köpenick,,Alt-Köpenick 31-33,12555,Berlin,"Müggelspree, Alter Spreearm"
Wassersport-Club Grün-Silber-Orange,WSGO,Elisabeth-Flickenschildt-Straße 24,13599,Berlin,Oberhavel
Marina Lanke Berlin,,Scharfe Lanke 109,13595,Berlin,UHW
Motorwassersportclub 1190 e.V. (MWSC 1190 e.V.),Motorwassersportclub 1190 e.V.,Bruno-Bürgel-Weg 63,12439,Berlin,Spree-Oder-Wasserstraße
Motor-Boot-Club Berlin e. V.,,Am Großen Wannsee 50,14109,Berlin,"UHW, Großer Wannsee"
Motorwassersportclub Grünau e.V.,,Windwallstr. 1,12527,Berlin,"Dahme-Wasser-Str., Langer See"
Motor-Yacht-Club Preußen e. V. im ADAC,,Alt Gatow 1-3,14089,Berlin,Untere-Havel-WS
Motor-Yacht-Club Tegel e. V.,,Borsigdamm 4,13507,Berlin,"Havel-Oder-Wasserstr., Tegeler See"
MRC Berlin,,Teltowkanalstr. 16,12249,Berlin,Teltow-Kanal
Neudörfl/FEWO Eisgarten,,Ahornstr. 8,12589,Berlin,Dämeritzsee
Potsdamer Yacht Club,,Königstr. 3 a,14109,Berlin,Großer Wannsee
Pro Sport Berlin 24 e. V.,,Grünauer Str. 193,12557,Berlin,Langer See/Spree-Oder-Wasserstr./Dahme
Rotsch-Hafen-Berlin,,Nuscheweg 2,12527,Berlin,"Spree-Oder-WS, Langer See"
SB-Tankstelle Bläske & Schülke,,Gosener Damm 13-15,12559,Berlin,"Spree-Oder-WS, Große Krampe"
SC Brise 1898 e. V.,,Wendenschloßstr. 390,12557,Berlin,Spree-Oder-Wasserstr.
SC Spandau e. V.,,Elkartweg 18,13587,Berlin,Havel
Seesportclub,,Rohrwallallee 11,12527,Berlin,Spree-Oder-WS
Segelclub Fraternitas 1891 e. V.,,Wendenschloßstr. 378,12557,Berlin,Spree-Oder-WS Dahme
Seglervereinigung 1903 e. V.,,Wannseebadweg 40,14129,Berlin,Klare Lanke
Spreehöfe-Spacebowl,,Wilhelminenhofstr. 89a,12459,Berlin,Spree-Oder-WS
Stern und Kreis Schifffahrt GmbH,,Puschkinallee 16-17,12435,Berlin,Spree-Oder-Wasserstr. -Spree
TSG 1898 e. V.,,Jagen 37,12527,Berlin,Spree-Oder-WS
Union SOZ. Einrichtungen gGmbH,,Wassersportallee 2,12527,Berlin,Spree-Oder-Wasserstr-Dahme
Verein Schmöckwitzer Wassersportler e. V.,,Jagen 37,12527,Berlin,"Spree-Oder-WS, Langer See"
W.a.G. Großes Fenster e. V.,,Am Großen Fenster,14165,Berlin,Untere-Havel-WS
Wasserfreunde Spandau 04,Havelschanze,Am Bootshaus 20,13587,Berlin,Ober-Havel-WS
Wasserfreunde Spandau 04,Zitadelle,Zitadellenweg,13599,Berlin,Ober-Havel-WS
Wassersport-Verein 1921 e. V.,,Rohrwallallee 87-99,12527,Berlin,"Spree-Oder-Wasserstr.-Dahme, Langer See"
Wassersport-Verein Karolinenhof e. V.,,Rohrwallallee 3,12527,Berlin,"Spree-Oder-Sasserstr.-Dahme, Langer See"
Wassersportzentrum Berlin,,Müggelseedamm 42-70,12587,Berlin,Müggelspree
Weisse Villa (Herr Wengelsdorf),,Josef-Nawrocki-Str. 10,12587,Berlin,Müggelspree
Westernrestaurant Richtershorn,,Sportpromenade 15,12527,Berlin,Spree-Oder-Wasserstr.-Dahme
Wilhelmstadt Spandau Interessengemeinschaft Wilhelmstadt e. V.,,Pichelsdorfer Str. 89,13595,Berlin,Untere-Havel-WS
Yachthafen Löber,Yachtcharter Löber,Müggelbergallee 1,12557,Berlin,Spree-Oder-Wasserstr.-Dahme
Yachthafen Marina Wannsee,,Am Grossen Wannsee 4,14109,Berlin,"Untere-Havel-WS, Wannsee"
Tempelhofer Hafen Berlin,,Tempelhofer Damm 227,12099,Berlin,Teltow-Kanal
Bezirksamt Treptow-Köpenick,Seesportclub Berlin-Grünau e. V.,Rohrwallallee 11,12527,Berlin,SOW Langer See
Bezirksamt Treptow-Köpenick,Zeltplatz Kuhle Wampe,Straße zur Krampenburg,12559,Berlin,Große Krampe
Bezirksamt Treptow-Köpenick,Mellowpark,An der Wuhlheide 252,12459,Berlin,SOW
Bezirksamt Treptow-Köpenick,Regattastraße 249,Regattastraße 249,12527,Berlin,SOW (Dahme)
Bezirksamt Treptow-Köpenick,Am Generalshof,Am Generalshof,12555,Berlin,Nebenarm Köpenicker Alte Spree
Bezirksamt Treptow-Köpenick,Insel der Jugend,"Insel der Jugend, Abteibrücke",12435,Berlin,"Nebenarm Spee, Insel der Jugend"
Bezirksamt Treptow-Köpenick,Zum Seeblick,Zum Seeblick,12527,Berlin,SOW
Bezirksamt Treptow-Köpenick,Schmetterlingshorst,Zum Schmetterlingshorst 2,12559,Berlin,SOW
Bezirksamt Treptow-Köpenick,KKC Berlin e. V.,Weiskopffstr. 15,12459,Berlin,SOW
